,Country/Region,variable,value
788,US,4/9/20,477531
789,United Kingdom,4/9/20,82281
790,Australia,4/10/20,6215
791,Canada,4/10/20,24248
792,China,4/10/20,85115
793,Germany,4/10/20,113525
794,"Korea, South",4/10/20,10450
795,Malaysia,4/10/20,4346
796,Russia,4/10/20,11917
797,Singapore,4/10/20,2108
798,US,4/10/20,511815
799,United Kingdom,4/10/20,86620
800,Australia,4/11/20,6303
801,Canada,4/11/20,25624
802,China,4/11/20,85208
803,Germany,4/11/20,117658
804,"Korea, South",4/11/20,10480
805,Malaysia,4/11/20,4530
806,Russia,4/11/20,13584
807,Singapore,4/11/20,2299
808,US,4/11/20,540741
809,United Kingdom,4/11/20,90248
810,Australia,4/12/20,6315
811,Canada,4/12/20,26966
812,China,4/12/20,85377
813,Germany,4/12/20,120479
814,"Korea, South",4/12/20,10512
815,Malaysia,4/12/20,4683
816,Russia,4/12/20,15770
817,Singapore,4/12/20,2532
818,US,4/12/20,567049
819,United Kingdom,4/12/20,93784
820,Australia,4/13/20,6351
821,Canada,4/13/20,28763
822,China,4/13/20,85489
823,Germany,4/13/20,123016
824,"Korea, South",4/13/20,10537
825,Malaysia,4/13/20,4817
826,Russia,4/13/20,18328
827,Singapore,4/13/20,2918
828,US,4/13/20,594196
829,United Kingdom,4/13/20,97993
830,Australia,4/14/20,6415
831,Canada,4/14/20,30452
832,China,4/14/20,85569
833,Germany,4/14/20,125098
834,"Korea, South",4/14/20,10564
835,Malaysia,4/14/20,4987
836,Russia,4/14/20,21102
837,Singapore,4/14/20,3252
838,US,4/14/20,622524
839,United Kingdom,4/14/20,102352
840,Australia,4/15/20,6440
841,Canada,4/15/20,32199
842,China,4/15/20,85668
843,Germany,4/15/20,127584
844,"Korea, South",4/15/20,10591
845,Malaysia,4/15/20,5072
846,Russia,4/15/20,24490
847,Singapore,4/15/20,3699
848,US,4/15/20,648422
849,United Kingdom,4/15/20,107454
850,Australia,4/16/20,6462
851,Canada,4/16/20,33965
852,China,4/16/20,85774
853,Germany,4/16/20,130450
854,"Korea, South",4/16/20,10613
855,Malaysia,4/16/20,5182
856,Russia,4/16/20,27938
857,Singapore,4/16/20,4427
858,US,4/16/20,678060
859,United Kingdom,4/16/20,112792
860,Australia,4/17/20,6522
861,Canada,4/17/20,36091
862,China,4/17/20,86187
863,Germany,4/17/20,133830
864,"Korea, South",4/17/20,10635
865,Malaysia,4/17/20,5251
866,Russia,4/17/20,32008
867,Singapore,4/17/20,5050
868,US,4/17/20,711168
869,United Kingdom,4/17/20,117777
870,Australia,4/18/20,6568
871,Canada,4/18/20,37617
872,China,4/18/20,86258
873,Germany,4/18/20,137439
874,"Korea, South",4/18/20,10653
875,Malaysia,4/18/20,5305
876,Russia,4/18/20,36793
877,Singapore,4/18/20,5992
878,US,4/18/20,738497
879,United Kingdom,4/18/20,122508
